glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
FL-2024-000198-SEN,2024-000198,23387,FL,flood,SEN,,14.497401,-14.452362,0.0,0.0,0,2024,10,20,A,0,0,0,0,,0,"n the last weeks, heavy rainfall has affected northern and eastern Senegal, causing floods and the rising water of the Senegal river, that have resulted in people displacement and damage.

According to UN OCHA, as of 22 October, at least 55,600 people have been affected by flooding across 51 villages in north and eastern Senegal, and more than 1,000 ha of crops have been damaged in Tambacounda, Matam, and Saint-Louis regions.",ECHO
FL-2022-000290-SEN,2022-000290,22653,FL,flood,SEN,"Dakar, Thiem, MATAM",14.497401,-14.452362,0.0,0.0,0,2022,8,7,A,0,0,6500,19838,,0,"From 5 to 7 August 2022, the cities of Dakar, Thies and Matam recorded very heavy rainfall totalling almost 500 mm for the three regions concerned (Dakar, Thies and Matam), according to weather data. According to information from the volunteers&#39; assessments, this situation caused a great deal of damage in the areas mentioned, resulting in the destruction of 170 homes and the displacement of more than 1,300 families who were housed in schools or hosted by neighbors in very difficult living conditions. 317 families have not been rehoused and are still living in their homes affected by the floods. Moreover, the weather forecast does not encourage the efforts that are being made by the various actors. Indeed, according to the weather forecast, people should expect more rainfall as the winter season is only just beginning.",SENEGAL RED CROSS AND IFRC
FL-2021-000117-SEN,2021-000117,22241,FL,flood,SEN,Matam and Kanel departments,0.0,0.0,0.0,0.0,0,2021,8,3,A,2,127,1,14,,0,"Senegal experienced at the beginning of August, 72 hours of heavy rainfall. Main consequences of the event were recorded in the Region of Matam, in the north of the country, specifically in the homonym department and in the one of Kanel. Between 2nd and 3rd August, rainfall in these localities reached up to 260 mm. Loss and damages of materials; especially in terms of shelters and human settlements were recorded, as well as limitation of access to water, hygiene and sanitation services. Moreover, the lack of protection plan caused the loss as well of two human lives. ",Senegalese Red Cross
FL-2020-000198-SEN,2020-000198,22058,FL,flood,SEN,"Dakar, Thiès, Diourbel, Kaolack, Fatick, Kaffrine, Saint-Louis, Matam, Kolda, Sédhiou and Tambacounda",14.6898813666188,-17.4072265625,0.0,0.0,0,2020,9,7,A,11,45,0,16,,0,"From 6 to 7 September 2020, all parts of Senegal recorded excess  rainfall ranging from 100mm to 1900mm depending on the geographical areas. Dakar and Thies regions recorded 800mm of rainfall mainly in the suburbs and Thies department. 
Overall, in 11 regions including 25 departments, particularly the suburbs of Dakar and the department of Thies, where these heavy rains caused the displacement of nearly 3,285 people, or 365 families driven from their homes by the floods, waterlogged streets, entire neighborhoods flooded and bridges washed away, thus leaving some localities or communities isolated, since the accessibility of emergency services is a problem. This information from field surveys conducted by the Senegalese Red Cross teams reveals a critical situation with 16,798 affected people.",Senegal Red Cross
EP-2020-000012-SEN,2020-000012,21828,EP,epidemic,SEN,,14.497401,-14.452362,0.0,0.0,0,2020,3,1,A,1890,75671,0,137,,120,"Coronavirus disease (COVID-19) is an infectious disease caused by the SARS-CoV-2 virus. It originated in Wuhan, China, at the end of 2019, and spread rapidly over the world.  Coronaviruses are a large family of viruses with some causing less-severe disease, such as the common cold, and others more severe like COVID-19. Coronavirus has impacted also Senegal, where authorities have reported as of December 31, 2021 more than 75671 total cases, with over 1890 deaths. ","WHO, Woldometers, MoHealth"
FL-2019-000118-SEN,2019-000118,21602,FL,flood,SEN,,0.0,0.0,0.0,0.0,0,2019,9,10,A,0,0,0,0,,0,"Heavy rainfall in Senegal has caused extensive damages in Rufisque and Gu&eacute;diawaye departments in Dakar Region and Kaolack department in the Region of the same name. Starting on 10 September 2019, the rains continued through to 17th but by 15 and 16 September, the cumulated flood waters started causing widespread flooding in Dakar and Kaolack regions.",
OT-2017-000111-SEN,2017-000111,20908,OT,other,SEN,"Goudlry, Kanel, Kebemer, Louga, Matam, Ranerou, Tambacounda",14.7748825065163,-13.232421875,0.0,0.0,0,2017,8,17,A,0,0,0,345,,3,"The food security situation is expected to deteriorate during the period of July-August-September. Up to 830,000 people (7% of the population) would be in crisis.",Senegalese Red Cross Society
FL-2016-000102-SEN,2016-000102,20748,FL,flood,SEN,,14.497401,-14.452362,0.0,0.0,0,2016,9,5,A,5,106,0,1,,0,"On the nights of September 4 and 5, 2016, a heavy rain accompanied by strong winds caused significant material and human damage with a large number of affected people. In the area of St. Louis, it was estimated that there were about 1,313 affected families; especially in the department of Dagana that recorded 5 deaths and 106 injured, and destroyed houses, fields, schools, sleeping materials, household goods (chair, clothing, etc.) and walls. In addition, food stock reserves, poultry and livestock were lost in 4 towns and in the 40 villages mentioned below.","IFRC, 21 Sep 2016"
FL-2016-000090-SEN,2016-000090,20735,FL,flood,SEN,,14.497401,-14.452362,0.0,0.0,0,2016,7,24,A,0,0,0,0,,0,"A total of 12,180 people have so far been directly affected by floods in Senegal. The Kaffrine area on 24 July received an unprecedented amount of over 175 mm of rainfall in less than a day. According to local authorities, 10,313 people were directly affected by the floods inundating their fields and sweeping away stocks of millet or other crops. Kaolack and Saint Louis also saw localised flooding earlier in July.","OCHA, 22 Aug 2016"
FL-2016-000089-SEN,2016-000089,20734,FL,flood,SEN,,14.497401,-14.452362,0.0,0.0,0,2016,7,24,A,0,0,0,0,,0,"A total of 12,180 people have so far been directly affected by floods in Senegal. The Kaffrine area on 24 July received an unprecedented amount of over 175 mm of rainfall in less than a day. According to local authorities, 10,313 people were directly affected by the floods inundating their fields and sweeping away stocks of millet or other crops. Kaolack and Saint Louis also saw localised flooding earlier in July.","OCHA, 22 Aug 2016"
EP-2014-000039-SEN,2014-000039,20196,EP,epidemic,SEN,,12.6403383068468,-12.44140625,0.0,0.0,0,2014,4,11,A,0,0,0,0,,0,On the 21st of March the Government of Guinea confirmed a suspected viral haemorrhagic fever outbreak that had been developing since early February as Ebola. Lab tests now confirm 6 suspected cases of Ebola and outbreak response activities are being ramped up significantly. Figures of case loads and effected areas are still being defined but current government figures are as high as 80 cases and 60 deaths with more cases expected. The epicentre seems to be a small rural town called Gueckedou in southern Guinea. Gueckedou is extremely close to both the Sierra Leone and Liberian boarders and communities in all three countries are at risk.,
FL-2012-000169-SEN,2012-000169,19896,FL,flood,SEN,,14.497401,-14.4523619999999,0.0,0.0,0,2012,8,26,A,0,0,0,0,,0,"Since the beginning of the rainy season in July 2012, torrential rains have caused local flooding in several areas of Senegal, including St. Louis (North), Bambey (center) and Dakar. After heavy rains on 26 Aug, the Government launched an emergency plan. So far over 6,500 houses have been destroyed and more than 5,000 families have been displaced. The flooding has also contaminated 7,700 drinking water sources.",OCHA
OT-2011-000205-SEN,2011-000205,19716,OT,other,SEN,,14.497401,-14.4523619999999,0.0,0.0,0,2011,9,12,A,0,0,0,0,,0,"More than a million children in the Sahel region are at risk of becoming severely malnourished as inadequate rain, poor harvests and rising food prices have left hundreds of thousands vulnerable and weak.",UNICEF
OT-2011-000193-SEN,2011-000193,19686,OT,other,SEN,,14.497401,-14.4523619999999,0.0,0.0,0,2011,12,20,A,0,0,0,500000,,0,"Over five hundred thousand people are food insecure in Senegal. According to information from the Ministry of Agriculture, OCHA, FAO and WFP, a total of 28 administrative department in 8 regions countrywide are experiencing acute food scarcity. The North East and the Middle areas of Senegal are most affected by the drought and a bad rainy season. According to an assessment conducted by the Senegalese Red Cross  National  Society,  21  department  in  7  regions  have  been  severely  affected  and  need  immediate  food assistance and support. They include Kaffrine, Kedougou, Tambacounda, Louga, Lingu?re, Saint Louis and Matam.",IFRC
FL-2011-000108-SEN,2011-000108,19524,FL,flood,SEN,Thies,14.8047,-16.924339,0.0,0.0,0,2011,8,1,A,0,0,0,0,,0,"Since 1 August 2011, the western central regions of Senegal have been experiencing torrential rains. Some 5,214 people have been affected by the floods (latest update from the field) in Thies. Additional rains caused flash floods, increasing the vulnerability of the community. The situation is chaotic in the city and some essential services have been disrupted. The discharge of septic tanks and wastewater make people fear a threat of outbreak.",IFRC
FL-2010-000217-SEN,2010-000217,19238,FL,flood,SEN,Saint Louis,16.02463,-16.489531,0.0,0.0,0,2010,10,17,A,0,54,0,80337,,0,"On Sunday 17 and Monday 18 October, the region of Saint-Louis and its surrounding areas received 98 mm of rains.  The rain added to the already 325 mm downpour in August and September and brought the city into a catastrophic situation with many casualties and damages. ",IFRC
FL-2010-000164-SEN,2010-000164,19179,FL,flood,SEN,Kolda,12.89952,-14.94427,0.0,0.0,0,2010,8,12,A,2,9,0,22116,,2,"From the 12 August to date, there have been incessant rains that continue to cause devastating floods in the community of Kolda and many other communities in Southern Senegal. With the increased rains, the number of affected populations as of today prior to the conclusion of the assessment stand at 22,116 people affected, and 428 families within Kolda are currently displaced due to their houses has completely collapsed and are temporary hosted in schools at the moment.",IFRC DREF MDRSN003
FL-2009-000164-SEN,2009-000164,18865,FL,flood,SEN,,14.497401,-14.452362,0.0,0.0,0,2009,8,28,A,0,0,0,0,,0,Recent heavy rains in Senegal have caused severe floods in almost all suburbs of Dakar. Dozens of volunteers from the Senegalese Red Cross were dispatched to help disaster victims save their belongings and evacuate their flooded homes. 194 affected families received immediate assistance.,IFRC
