glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
FL-2024-000144-MLI,2024-000144,23297,FL,flood,MLI,,17.570692,-3.996166,0.0,0.0,0,2024,7,22,A,0,0,0,0,,0,"Since 22 July, Bla town, in Segou region (central Mali), has been experiencing days with heavy rainfall, causing floods that have resulted in damage. According to UN OCHA, as of 29 July, 8,700 people have been affected in the aforementioned town. Regional authorities are coordinating the response for those affected by the floods. ",ECHO
EP-2023-000268-MLI,2023-000268,23182,EP,epidemic,MLI,,17.570692,-3.996166,0.0,0.0,0,2023,9,9,A,0,0,0,0,,0,"The resurgence of the Dengue epidemic in Mali since 9 September 2023, marks one of the most severe outbreaks in decades. With cases spreading rapidly, the Ministry of Health and Social Development took proactive measures by hosting a press conference on 29 November 2023, to educate the public about the disease&#39;s progression and severity. Subsequently, on 13 December 2023, the Public Health Emergency Operations Department was activated, initiating the implementation of an Incident Management System (IMS) specifically tailored for Dengue and Zika. [...] Despite concerted efforts, the epidemiological situation remains challenging. As of the latest update from the Situation Report (SitRep) dated 18 March 2024, there have been 144 suspected cases of Dengue reported this week, with 35 confirmed cases and no fatalities. Since the beginning of 2024, a total of 2,053 suspected cases of Dengue have been reported, including 355 positive cases. Cumulatively, from week 34 of 2023 to week 11 of 2024, there have been 7,422 suspected cases, with 1,163 confirmed cases and 35 deaths, resulting in a fatality rate of 3.01%. This outbreak has affected 21 health districts across six regions.",IFRC
FL-2022-000355-MLI,2022-000355,22726,FL,flood,MLI,,17.570692,-3.996166,0.0,0.0,0,2022,9,23,A,0,0,0,0,,0,"On 23 September, flooding in Syn village, Mopti region, destroyed over 400 houses and displaced over 3,000 people. Moreover, on 25 September, flooding in Soala village, also in Mopti region, affected about 4,350 people. And in Touara village, Segou region, floods significantly affected inhabitants. Affected people in these villages critically need aid in food, shelter, nutrition, etc. Humanitarian organizations are mobilizing to provide assistance.",OCHA
CE-2022-000233-MLI,2022-000233,22596,CE,complex emergency,MLI,9 regions on 10,17.570692,-3.996166,0.0,0.0,0,2022,6,21,A,0,0,0,2,,0,"Le Mali est un pays sah&eacute;lien, dont l&#39;&eacute;conomie d&eacute;pend en grande partie du secteur agricole, qui lui-m&ecirc;me est tributaire des al&eacute;as climatiques avec des s&eacute;cheresses r&eacute;p&eacute;titives depuis les ann&eacute;es 1970, des inondations, des pr&eacute;dateurs en plus d&#39;importants incidents s&eacute;curitaires li&eacute;s &agrave; la situation politique, conflits intercommunautaires, attaques djihadistes et vols de b&eacute;tail. La pauvret&eacute; est en hausse, touchant 78,1 % de la population au niveau pays, et les niveaux d&#39;ins&eacute;curit&eacute; alimentaire sont deux fois plus &eacute;lev&eacute;s dans les familles dirig&eacute;es par des femmes.Vu la situation s&eacute;curitaire au Mali, une analyse Cadre Harmonis&eacute; n&#39;a pas eu lieu lors des premiers mois de 2022, mais consid&eacute;rant le dernier rapport les projections IPC de juin &agrave; ao&ucirc;t 2022, un pic de la malnutrition aiguë est prevue, ainsi qu&#39;une d&eacute;t&eacute;rioration progressive de la situation nutritionnelle, avec 37 subdivisions administratives concern&eacute;es et quatre sites de personnes d&eacute;plac&eacute;es en phase 3 (Gao, Mopti, S&eacute;gou and Timbuktu) cinq subdivisions administratives et un site de personnes d&eacute;plac&eacute;es probablement dans un &eacute;tat critique.




Le Cluster S&eacute;curit&eacute; Alimentaire a d&eacute;fini une cible de 2,8 millions de personnes en 2022, parmi lesquelles 1,8 millions devraient b&eacute;n&eacute;ficier d&#39;une assistance alimentaire d&#39;urgence. Le chiffre de 1,8 millions correspond aux pr&eacute;visions du Cadre Harmonis&eacute; pour juin-ao&ucirc;t 2022 (pnr_2022), qui stipulent que 1,684,507 se trouvent en phase 3 et 156,560 en phase 4, ce qui totalise 1,841,067 n&eacute;cessitant un appui en nourriture.",Mali Red Cross Society
EP-2020-000012-MLI,2020-000012,21839,EP,epidemic,MLI,,17.570692,-3.996166,0.0,0.0,0,2020,3,1,A,668,21378,0,168,,120,"Coronavirus disease (COVID-19) is an infectious disease caused by the SARS-CoV-2 virus. It originated in Wuhan, China, at the end of 2019, and spread rapidly over the world.  Coronaviruses are a large family of viruses with some causing less-severe disease, such as the common cold, and others more severe like COVID-19. Coronavirus has impacted also Mali, where authorities have reported as of December 31, 2021 more than 21378 total cases, with over 668 deaths. ","WHO, Woldometers, MoHealth"
FL-2019-000100-MLI,2019-000100,21575,FL,flood,MLI,,0.0,0.0,0.0,0.0,0,2019,8,24,A,0,0,0,0,,0,"Mali recorded from 24 to 27 August, flooding in several parts of the country. These floods come as a result of heavy rains. This situation has caused enormous damage, in the affected localities across the country. As of 28 August, about 6,474 people (1,729 households) in Koulikoro, Tombouctou, Kidal, Mopti and M&eacute;naka were reported to be affected and at least 854 houses destroyed. In many of these areas, floods have had severe consequences on livelihoods and food stocks have been washed away by the flood water. 
","Mali Red Cross, IFRC"
FL-2018-000140-MLI,2018-000140,21152,FL,flood,MLI,"Kita, mali",13.0341072,-9.48949719999996,0.0,0.0,0,2018,8,7,A,0,0,0,0,,0,"Since 7th of August 2018, Mali has been affected by heavy rainfall, which further increased between the 17-19 of August, causing great damage in localities of six out of the ten regions of the country.
These rains are forecasted to continue across the country until November 2018, heightening probability of increased flooding. ",
FL-2017-000110-MLI,2017-000110,20907,FL,flood,MLI,,17.570692,-3.99616600000002,0.0,0.0,0,2017,6,17,A,0,0,0,0,,0,"More than 7,000 people have been affected by the floods since the beginning of the rainy season this year in Mali, mostly in the north. Many victims have seen their houses destroyed or damaged. In addition, the provisional flood report is particularly burdensome for pastoralist communities with more than 26,000 livestock lost to date. The most affected region is Timbuktu, which alone accounts for more than two thirds of the victims and almost all the losses of livestock recorded.  ",OCHA
FL-2016-000085-MLI,2016-000085,20730,FL,flood,MLI,,17.570692,-3.99616600000002,0.0,0.0,0,2016,7,23,A,0,0,0,0,,0,"Heavy rainfall, which started on 11 July 2016-23
July 2016 led to extensive flooding. The Gao, Mopti
S&eacute;gou, and Sikasso regions have been worst affected by
the rains and flooding. ",IFRC
EP-2014-000039-MLI,2014-000039,20193,EP,epidemic,MLI,,14.2643830875627,-6.9921875,0.0,0.0,0,2014,4,19,A,0,0,0,0,,0,"A fast-spreading outbreak of Ebola virus disease is affecting several countries in West Africa. With cases registered since February and March, Guinea and Liberia have registered up to 150 and 20 cases respectively with more than 100 deaths in Guinea and ten in Liberia. With affected regions of  Macenta, Gueckedou, N'Zerekore and Kissidougou in Guinea and Lofa, Nimba, Margibi and Montserrado regions in Liberia, additional suspected cases have been reported in Sierra Leone and Mali and laboratory identification is ongoing to determine its nature.",IFRC
FL-2013-000104-MLI,2013-000104,20060,FL,flood,MLI,,17.570692,-3.99616600000001,0.0,0.0,0,2013,8,26,A,0,0,0,0,,0,"Heavy rains between 9-12 Aug 2013 caused flooding in Mali's Kidal and Segou regions, destroying houses, latrines and fields. Around 11,300 people were affected. On 28 Aug, torrential rains provoked flash floods in the capital Bamako, killing at least 34 people. More than 100 homes were swept away as the Niger river burst its banks. ","OCHA, AFP"
FL-2012-000172-MLI,2012-000172,19899,FL,flood,MLI,,17.570692,-3.99616600000001,0.0,0.0,0,2012,8,28,A,0,0,0,0,,0,"Following heavy rains in August 2012, flooding in Mali's southern regions of S?gou, Koulikoro, Sikasso, Kayes and Mopti killed five people and inundated homes and food crops. Over 2,800 houses collapsed and nearly 9,000 people have been made homeless.",OCHA
OT-2011-000205-MLI,2011-000205,19712,OT,other,MLI,,17.570692,-3.99616600000001,0.0,0.0,0,2011,9,12,A,0,0,0,0,,0,"More than a million children in the Sahel region are at risk of becoming severely malnourished as inadequate rain, poor harvests and rising food prices have left hundreds of thousands vulnerable and weak.",UNICEF
FL-2011-000129-MLI,2011-000129,19554,FL,flood,MLI,,17.570692,-3.996166,0.0,0.0,0,2011,9,5,A,0,0,0,15000,,0,"The recent floods in Mali have affected many locations. The following regions were the most affected: Timbuktu (cities of Goundam and Gossi); Mopti (village of Sana) in the commune of Koro; Sikasso; Kidal (city of Kidal); Kayes (Diboly, in 5 villages); Koulikoro (prefecture of Kangaba).",IFRC
EP-2011-000112-MLI,2011-000112,19531,EP,epidemic,MLI,,17.570692,-3.996166,0.0,0.0,0,2011,8,19,A,0,0,0,0,,0,Cholera outbreak in Mopti and Tombouctou has affected at least 600 people and 19 deaths have been reported.,IFRC
FL-2010-000195-MLI,2010-000195,19213,FL,flood,MLI,,17.570692,-3.996166,0.0,0.0,0,2010,8,11,A,0,0,0,16000,,5,"series of torrential rains resulting to floods on 11 ? 12 August in Timbuktu. The latest torrential rains that took place on 21 September flooded Nine regions across the country affecting people to a varying degree. The floods affected over 16,000 people, destroyed 390 houses and displaced 1,168 families. ",IFRC
FL-2009-000176-MLI,2009-000176,18878,FL,flood,MLI,,17.570692,-3.996166,0.0,0.0,0,2009,9,5,A,0,0,0,0,,0,Mali have been affected by heavy rains and wind storm which had a serious impact. 80 families have been affected.,IFRC
EP-2009-000067-MLI,2009-000067,18758,EP,epidemic,MLI,,17.570692,-3.996166,0.0,0.0,0,2009,3,20,A,0,0,0,0,,0,"The reporting of 38 cases of polio across 7 West African countries in 2008 and an additional 13 cases in the first 2 months of 2009 has prompted the concerned countries with coordination support from WHO to organise synchronised polio vaccination campaigns. Four Red Cross National Societies in the region have applied for emergency funds to support the March rounds of these campaigns through their community based social mobilization work raising awareness about the diseases, the vaccination campaign and helping to prevent further cases.",
FF-2007-000100-MLI,2007-000100,17629,FF,flash flood,MLI,Bandiagara,14.34449,-3.605345,0.0,0.0,0,2007,7,4,A,0,0,1200,0,,1,"A heavy downpour brought floods in the Malian town of Bandiagara. The strong precipitations caused extensive damage in the town of 12,000 inhabitants; up to 93 compounds collapsed, 150 households were severely affected and some 1,200 people were left without shelter, with all their belongings either carried away by floodwaters or buried under mud. ",IFRC DREF Bulletin 1
FL-2003-000389-MLI,2003-000389,18229,FL,flood,MLI,"Timbuktu, Gao, Mopti, Segou, Koulikoro, Teneku regions",17.570692,-3.996166,0.0,0.0,0,2003,8,10,A,0,0,10000,0,,0,,CRED EM-DAT
FL-2002-000468-MLI,2002-000468,10588,FL,flood,MLI,"Bamako, Goudan, Tombouctou, Gao",17.570692,-3.996166,0.0,0.0,0,2002,8,1,A,2,0,30000,0, km?,0, (Flood),
AC-2002-000294-MLI,2002-000294,10593,AC,tech. disaster,MLI,Bankass road,17.570692,-3.996166,0.0,0.0,0,2002,5,12,A,23,26,0,0, ,0, (Road),
EP-2002-000258-MLI,2002-000258,10594,EP,epidemic,MLI,,17.570692,-3.996166,0.0,0.0,0,2002,1,0,A,33,0,0,282, vaccinated,0, (Meningitis),
FL-2001-000524-MLI,2001-000524,10591,FL,flood,MLI,"Sikasso, Kidal, Mopti, Koulikoro, Bamako",12.65,-8.0,0.0,0.0,0,2001,9,15,A,2,0,0,3500, km?,0, (Flood),
FA-2001-000044-MLI,2001-000044,10590,FA,famine,MLI,,17.570692,-3.996166,0.0,0.0,0,2001,0,0,A,0,0,0,0, ,0, (Food shortage),
AC-2000-000629-MLI,2000-000629,10589,AC,tech. disaster,MLI,Mopti region,14.6338039,-3.4195527,0.0,0.0,0,2000,9,26,A,20,0,0,0, ,0, (Road),
AC-2000-000589-MLI,2000-000589,10597,AC,tech. disaster,MLI,Near S?gou,16.273291,-0.050689,0.0,0.0,0,2000,9,17,A,11,39,0,0, ,0, (Road),
FL-2000-000530-MLI,2000-000530,10592,FL,flood,MLI,Abe?bara,17.570692,-3.996166,0.0,0.0,0,2000,8,25,A,15,0,0,0, km?,0, (Flood),
AC-2000-000412-MLI,2000-000412,10595,AC,tech. disaster,MLI,Fana,12.77785,-6.953471,0.0,0.0,0,2000,7,11,A,21,30,0,0, ,0, (Road),
AC-2000-000334-MLI,2000-000334,10596,AC,tech. disaster,MLI,S?gou region,16.9066332,1.5208624,0.0,0.0,0,2000,6,16,A,20,28,0,0, ,0, (Road),
