glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
FL-2025-000154-SDN,2025-000154,23608,FL,flood,SDN,,16.0960822914191,29.7342375625,0.0,0.0,0,2025,7,28,A,0,0,0,0,,0,"On 28 July 2025, heavy rain and floods across Fangoga Alshargia village in Ar Rahad locality, North Kordofan reportedly displaced 110 households.",IOM
FL-2024-000138-SDN,2024-000138,23291,FL,flood,SDN,Sudan,8.7912006,33.820323725,0.0,0.0,3,2024,8,3,A,0,0,0,0,0,1,"GDACS - Medium humanitarian impact in for Sudan.Local media quoting officials reported thousands of people were displaced by flooding in Upper Nile State, South Sudan, in early August 2024. Homes and crops were destroyed. ",GDACS
FL-2024-000128-SDN,2024-000128,23280,FL,flood,SDN,,12.862807,30.217636,0.0,0.0,0,2024,7,25,A,0,0,0,0,,0,"Initial reports indicate that an estimated 10,180 people, most of whom are newly arrived IDPs from Sennar State, have been affected by recent heavy rains and flooding in Kassala State. [...] Heavy rains and flooding have also affected an unspecified number of people and homes in Aroma, Shamal Al Delta, Reifi Kassala, and Gharb Kassala localities. [...] Floodwater reportedly submerged tents and water and sanitation (WASH) facilities, as well as roads. The majority of the affected IDPs have been forced to live in the open on the roadsides and they do not have access to food, clean drinking water, or safe sanitation facilities amid heightened concerns of a possible spike in water-borne diseases.",OCHA
FL-2023-000199-SDN,2023-000199,23036,FL,flood,SDN,,12.862807,30.217636,0.0,0.0,0,2023,9,15,A,0,0,0,0,,0,"On 15 and 22 September 2023, heavy rains and flooding affected several locations across Nyala Janoub, Nyala Shimal, and Beliel localities in South Darfur, leading to wide-scale displacement. In Nyala Shimal, field teams reported that 750 houses were completely destroyed in Otash IDP Camp, and 259 houses were partially destroyed. Additionally, in Nyala Town, Nyala Janoub locality, a total of 240 houses were totally or partially destroyed. In Beliel locality, heavy rains also resulted in the complete damage of 1,000 houses in Kalma IDP Camp and 330 houses in As Serief IDP Camp, whereas 670 houses in both camps were partially damaged. Reportedly, all affected households have been displaced and are currently sheltering with their relatives and neighbours in their respective locations of origin. Additionally, field teams reported seven deaths and no injuries.",IOM
EP-2023-000181-SDN,2023-000181,23003,EP,epidemic,SDN,,12.862807,30.217636,0.0,0.0,0,2023,9,29,A,0,0,0,0,,0,"9 September 2023, Cairo, Egypt - Sudan has declared a cholera outbreak in Gedaref State, where 264 suspected cholera cases, 4 confirmed cases and 16 associated deaths had been reported by 25 September 2023. Investigations are ongoing to determine whether cholera has also spread to Khartoum and South Kordofan states, where increased cases of acute watery diarrhoea have been reported.",WHO
CE-2023-000066-SDN,2023-000066,22846,CE,complex emergency,SDN,"Sudan, South Sudan, Chad, Ethiopia, Central African Republic",12.862807,30.217636,0.0,0.0,0,2023,4,15,A,459,5000,800000,9000000,,0,"In the early morning of Saturday, 15 April 2023, Khartoum woke up to the sound of gunfire and explosions. This was the first time that the capital city of Sudan, home to 6 million people, was at the epicentre of a fierce conflict between two powerful groups, the Sudan Armed Forces (SAF) and the Rapid Support Forces (RSF). 

Clashes broke out in different areas of the country and the relentless urban conflict has now taken at least 459  lives, many of them civilians, and injured over 5,000 people. 

Millions of civilians caught in the crossfire have been in lockdown for nearly two weeks, and many have run out of basic supplies like food, water, and medicine, having instead to borrow them or take the risk of fleeing through extremely dangerous routes. 

The conflict has also taken a significant toll on public infrastructure, with the destruction of hospitals and health facilities, leaving only 16 percent  of these facilities operating regularly in Khartoum. Residential buildings, water infrastructure, and energy infrastructure have been damaged as well, with continued disruption of service, while communications and internet connectivity have also been compromised. Both private and public facilities have been ransacked, and some burnt down, including on the premises of SRCS.  

The latest ceasefire has partially held, allowing evacuations to take place and some families to restock. However, food and water shortages, and lack of fuel, are leading to sharp increases in the cost of these basic commodities, while the price of transportation out of conflict areas is unaffordable for many. Families are prioritising the evacuation of women and children, who are exposed to heightened risks including sexual and gender-based violence, as reported by women-led organisations in Sudan . 

After 15 days of uninterrupted fighting, the full extent of the humanitarian situation is yet to be determined, but to date this conflict has put at least 9 million Sudanese, chiefly those living near the clashes, under severe hardship, unable to access emergency healthcare or medicines for those suffering from chronic conditions. The health facilities that remain functional lack staff and equipment, and the available blood is at risk due to power cuts in the cold chain. Women who are about to give birth cannot access ante-natal care and may be at risk of delivering without medical supervision. Lack of access to potable water is also leading people to seek water from the Nile, which could lead to a spike in diarrhoeal diseases, and will have repercussions on the nutrition status of children and pregnant and lactating women. 

Widespread displacement is ongoing, mainly in Khartoum, Northern State, North Kordofan, North Darfur, West Darfur, and South Darfur. There are chaotic scenes in Port Sudan and Wadi Halfa bordering Egypt, with people stranded for several days at a time attempting to leave the country. Displacement has also affected refugees living in Sudan, with many sheltering in crowded camps in White Nile State, Gedaref, and Kassala. People are also fleeing to neighbouring countries, including Chad, Egypt, South Sudan, Ethiopia, and Central African Republic (CAR).",National societies and IFRC
FL-2022-000277-SDN,2022-000277,22640,FL,flood,SDN,,11.4882250693094,29.8221281875,0.0,0.0,0,2022,6,15,A,0,0,0,0,,0,"Since the beginning of the rainy season in June, about 19,409 people (numbers yet to be verified) have been affected by heavy rains and flooding so far, mostly in South Kordofan and White Nile, Kassala, and West Darfur state.",OCHA
EP-2022-000177-SDN,2022-000177,22538,EP,epidemic,SDN,Gederef,12.862807,30.217636,0.0,0.0,0,2022,2,12,A,8,0,0,495680,,0,"On 12 February 2022, the Director of Department of Vector Control at the Ministry of Health of Gedaref State, released an appeal statement calling for assistance in control of alarming increase in cases of Visceral Leishmaniasis (KalAzar). The report indicated a continuous increase of cases throughout 2022 with 302 cases and 8 death only for January compare to the previous year&#39;s showing cumulative data of 2,973 cases with 69 deaths registered in 2021; 2,136 cases with 38 deaths in 2020 and 2,098 cases with 29 death in 2019. Especially for children, there has been an alarming increase of cases with an average increase of 130% of cases and death. 24% of the reported cases were children since 2019. The report did not differentiate the type of leishmaniasis infections for the moment, which have 3 variants include Kal-Azar (the visceral mortal one), Cutaneous and Mucocutaneous. Base on the level of mortality, heath disagnostic, mortality increase can find their origin in the increase of the worst variant, the Kal-azar one. The risk for population and the humanitarian emergency on the spread of this disease become then an emergency scaled-up by local authorities and SRCS.",Sudan Red Crescent
CE-2021-000187-SDN,2021-000187,22313,CE,complex emergency,SDN,,0.0,0.0,0.0,0.0,0,2021,10,25,A,23,200,0,0,,0,"On 25 October 2021, the Sudan Information Ministry reported that the Sudanese civilian-led government had been dissolved by the military. Its dissolution comes after an attempted coup on 21 September 2021 and persisting political tensions, characterized by ongoing demonstrations and protests in the country over recent months. ",Sudanese Red Crescent Society
FF-2021-000090-SDN,2021-000090,22213,FF,flash flood,SDN,Gedaref State,14.2484111074241,35.3408813476562,0.0,0.0,0,2021,7,23,A,0,0,0,0,,0,"Gedaref State
On 21 July 2021, a flash flood affected Al Fao locality in the Gedaref State due to heavy rainfall in the Al Butanah catchment area, which extends from North Darfur to North Kordofan and White Nile states. According to reports received over 150 houses in village 16, village 14, Al-Abhath, Haj Al-Sayed, and Tiako villages have been affected by the flooding. No reports of deaths or injuries have been received so far. The main water source in AlFao town and the electric power sub-station of Al Fao locality are overflooded. In addition, three schools, government offices, and the main market area have been affected by the flash flood. The area remains difficult to access given the flood’s impact on the main road between Gedaref city and Harira village within the Al Fao locality. Currently, the resistance committee is conducting headcounts and more information will be shared soon. There are over 333,800 people living in Al Fao locality of whom over 70,100 people are in crisis and above levels of food security, according to Sudan IPC June 2021.  

White Nile State 
On 21 July 2021, a flash flood in Um-Rimta locality affected an unknown number of households. The floods cut off the Elobeid road which is the main road connecting White Nile with North Kordofan states. No reports of damage have been received so far. The state-level emergency committee held a meeting on 22 July to discuss the situation and more information will be shared soon. The international NGO Plan International and the Sudanese Red Crescent Society (SRCs) are present in the locality. According to the 2021 Sudan Humanitarian Needs Overview, there are about 176,000 people living in Um-Rimta of whom over 9,200 are under emergency (IPC Phase 4) levels of food security and over 27,400 people are under crisis (IPC Phase 3) levels.",OCHA
CE-2020-000228-SDN,2020-000228,22088,CE,complex emergency,SDN,Kassala and Gedarif,0.0,0.0,0.0,0.0,0,2020,11,3,A,0,0,26,100,,0,"On 3rd November 2020, armed clashes were reported between the Ethiopian Defence Forces (EDF) and the Tigray Regiônal Security forces (TPLF) in Tigray region, Ethiopia. as of 16 November, over 26,000 people have already arrived into Sudan in search of safety. On 6th November, the Ethiopian government declared a state of emergency, with a total of 1.5 to 2 million people projected to be affected by this crisis. A continued high influx of refugees is expected to arrive in East Sudan, estimating a total number of 100,000 people to cross the border in the coming days and weeks. While continuing to receive these new arrivals, East Sudan is hosting one of the most protracted refugee situations in the world, with active refugee camps in Kassala, Al Jazeera and Gedarif States.",Sudanese Red Crescent Society (SRCS)
FL-2020-000176-SDN,2020-000176,22035,FL,flood,SDN,,0.0,0.0,0.0,0.0,0,2020,7,29,A,0,0,0,0,,0,"Heavy rains in Sudan have intensified over the past week, causing flooding, destruction of infrastructure, houses and livelihoods, and leading to displacement in multiple locations across the country. Khartoum, Blue Nile and River Nile are amongst the most affected states. Floods have also led to damages and affected people in other regions, including El Gezira, West Kordofan and South Darfur. In the Blue Nile State, the state with highest number of people affected so far, the Bout Earth Dam, in Tadamon locality, exceeded its full capacity and collapsed, following the strong rainfall received on 29 July. At least 12 neighbourhoods downstream in Bout Town were flooded due the incident, affecting around 3,900 people. Most of them were rendered homeless and are now sheltering with host families, as nearly 190 houses were destroyed and 590 damaged, according to Government’s Humanitarian Aid Commission (HAC). More houses are expected to collapse, as the rains continue in a zone where the land is already extremely wet.",UNOCHA
EP-2020-000129-SDN,2020-000129,21975,EP,epidemic,SDN,South Darfur and Gedaref states,11.6488639,24.9042208,0.0,0.0,0,2020,8,9,A,0,2,0,0, ,0,"The Federal Ministry of Health (FMoH) declared, on 9 August, an outbreak of polio in Sudan, following the confirmation of two cases of vaccine-derived poliovirus in South Darfur and Gedaref states.",OCHA
EP-2020-000012-SDN,2020-000012,21861,EP,epidemic,SDN,,12.862807,30.217636,0.0,0.0,0,2020,3,1,A,3331,46518,0,72,,120,"Coronavirus disease (COVID-19) is an infectious disease caused by the SARS-CoV-2 virus. It originated in Wuhan, China, at the end of 2019, and spread rapidly over the world.  Coronaviruses are a large family of viruses with some causing less-severe disease, such as the common cold, and others more severe like COVID-19. Coronavirus has impacted also Sudan, where authorities have reported as of December 31, 2021 more than 46518 total cases, with over 3331 deaths. ","WHO, Woldometers, MoHealth"
EP-2019-000155-SDN,2019-000155,21639,EP,epidemic,SDN,,0.0,0.0,0.0,0.0,0,2019,11,22,A,0,0,0,0,,0,"On 10 October 2019, the Sudan International Health Regulations (IHR) National Focal Point (NFP) notified WHO of 99 suspected cases of dengue fever in Kassala State. The first reported case presented to the health facilities on 8 August 2019...From 8 August through 4 November 2019, a total of 1,197 suspected cases of dengue fever including five deaths have been reported from seven states: Kassala (1,111 cases; 3 deaths), West Darfur (43 cases; 1 death), North Darfur (29 cases; 1 death), Red Sea (9 cases; 0 deaths), South Darfur (3 cases; 0 deaths), Gadarif (1 case; 0 deaths) and North Kordofan (1 case; 0 deaths)...The current dengue fever outbreak is coinciding with other ongoing outbreaks of chikungunya, rift valley fever, malaria, and cholera. Control and response capacities of the public health sector is limited; years of political and civil conflicts have reduced the country capacity to control and prevent outbreaks...The high likelihood of co-infection with chikungunya and/or malaria complicates case management and may result in poor prognosis. ",WHO
EP-2019-000150-SDN,2019-000150,21634,EP,epidemic,SDN,,14.5704166785612,30.920761,0.0,0.0,0,2019,11,14,A,0,0,0,0,,0,"On 10 October 2019, the National IHR Focal Point for Sudan notified WHO of 47 suspected cases of Rift Valley Fever (RVF), including two deaths in Arb'aat Area, Towashan Village, in El Qaneb locality, Red Sea State...On 13 October 2019, a total of 10 suspected RVF cases were recorded in Barbar and Abu Hamed localities, of River Nile State. Of the 10 suspected RVF cases, five samples were tested and four were found positive for RVF. From 19 September 2019 until 11 November 2019, a total of 293 suspected human RVF cases, including 11 associated deaths have been reported from six states; including the Red Sea (120), River Nile (168), Kassala (2), White Nile (1), Khartoum (1), and Al Qadarif (1) States",WHO
FL-2019-000117-SDN,2019-000117,21969,FL,flood,SDN,,12.862807,30.217636,0.0,0.0,0,2019,6,1,A,0,0,0,0,,0,Flood,ReliefWeb - OCHA
EP-2019-000113-SDN,2019-000113,21597,EP,epidemic,SDN,,0.0,0.0,0.0,0.0,0,2019,9,9,A,0,0,0,0,,0,"Sudan's Federal Ministry of Health (FMoH) announced on 10 September that four out of the six samples obtained from patients with acute diarrhoea were positive for Vibreo cholera at the National Public Health Laboratory (NPHL)...As of 9 September 2019, a total of 41 suspected cholera cases, with two deaths - case fatality rate (CFR) of 3.57 per cent - were reported from Blue Nile State. With proper treatment, the case fatality rate for cholera should remain below 1 per cent. The first documented case was reported on 2 September 2019 from the Ganis Sharig (East) area in El Roseires town in Blue Nile. Four out of seven localities in Blue Nile reported suspected cholera cases, with the majority of cases reported in El Roseires (36 cases), Damazine (3 cases), Wad Almahi and Geissan with a single case each.",OCHA
FL-2019-000064-SDN,2019-000064,21539,FL,flood,SDN,,0.0,0.0,0.0,0.0,0,2019,6,7,A,0,0,0,0,,0,"On 7 June, torrential rains reportedly destroyed around 300 to 400 houses belonging to IDPs and returnees in Leiba, East Jebel Marra, South Darfur. A total of 11 people were injured including two who were in critical situation. ",OCHA
FL-2018-000128-SDN,2018-000128,21138,FL,flood,SDN,west kordofan,11.1990192,29.4179324,0.0,0.0,0,2018,7,23,A,17,60,0,45705,,0,"From 23 to 30 July, flash floods have affected West Kordofan, Kassala, Elgzeeira, Sennar and Northern State provinces of Sudan, causing 17 deaths, over 60 injuries and  affecting a total of 45,705 people (9,141 households).
In addition to the above, the loss of cattle as well as destruction of homes was equally registered.",
EP-2017-000124-SDN,2017-000124,20922,EP,epidemic,SDN,,12.862807,30.217636,0.0,0.0,0,2017,8,18,A,657,0,0,30,,0,"According to the Federal Ministry of Health (FMoH) and the World Health Organization (WHO) as of 18 August 2017, 30,762 cases of Acute Watery Diarrhoea (AWD)?including 657 related deaths?have been reported in the 18 states in the country since August 2016. Based on the attack rate projections another 36,000 to 40,000 cases are expected over the next six to nine months, according to the FMoH and WHO. The AWD is affecting all demographics, with females constituting 54 per cent of the cases and children under five years of age accounting for 8.1 per cent",OCHA 
