glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
FL-2024-000223-LBY,2024-000223,23414,FL,flood,LBY,,26.3351,17.228331,0.0,0.0,0,2024,12,10,A,0,0,0,0,,0,"Recent heavy rainfall in Libya has resulted in widespread flooding across several municipalities, impacting communities, infrastructure, and essential services. The most affected areas include Tarhuna, Bani Waleed, Ghiryan, Qasr Akhyar, Ain Zara, Garabolli and Tajoura. Many roads have been rendered impassable, complicating the delivery of aid. The floods have led to five confirmed casualties - three civilians and two rescue workers from the Emergency and Ambulance Service in Tarhuna - and affected around 667 families in various areas.",OCHA
FL-2024-000149-LBY,2024-000149,23302,FL,flood,LBY,,26.9635262610164,14.8992294375,0.0,0.0,0,2024,8,11,A,0,0,0,0,,0,"Nearly 3,000 individuals have been displaced in Alkufra and Rabiana (southeastern Libya) after an unprecedented rainfall, the highest recorded since 1946, caused flooding and a power outage on 11 August 2024.",ECHO
FL-2023-000290-LBY,2023-000290,23782,FL,flood,LBY,Libya,32.7593795,22.6383195,0.0,0.0,3,2023,9,8,A,0,0,0,0,0,1,"GDACS - High humanitarian impact in for Libya.According to local media, 5,300 people died and 10,000 others are missing in Derna City after floods triggered by the collapse of two dams. In addition, IOM.DTM reports at least 30,000 displaced people in Derna and 3,000 others in Albayda. ",GDACS
FL-2023-000168-LBY,2023-000168,22968,FL,flood,LBY,Benghazi,32.1194242,20.0867909,0.0,0.0,0,2023,9,12,A,0,0,0,0,,0,"On Sunday, 10 September 2023 Storm Daniel made landfall in Libya causing severe weather conditions, including strong winds and sudden heavy rainfall affecting several northeastern areas of Libya (Benghazi, Tobruk, Toukra, Talmeitha, Almarj, Taknes (Al Jabal Al Akhdar), Al Owailia, Bayada, Albayda, Shahhat, Sousa and Derna).",
OT-2023-000116-LBY,2023-000116,22909,OT,other,LBY,"Butnan, Benghazi, Kufra, Nuqat al Kham",26.3351,17.228331,0.0,0.0,0,2023,6,8,A,0,0,0,0,,0,"Hazard:
Population Movement
The first event: In  the second week of June, the local authorities launched an extensive campaign to curb irregular 
migration and human trafficking activities, which resulted in the collection of more than 2,500 irregular  migrants 
who were in dire need of urgent health services such as first aid and treatment of skin diseases such as scabies, 
personal hygiene materials, and provided safe drinking water, they were accommodated in Iowa and immigration 
centers in the city of Tobruk and Benghazi, and urgent services were provided to them from Before the branches of 
the association 
The second event: In the fourth week of June, 140 irregular migrants were caught by the local authorities who entered 
through the southern border of the city of Kufra and were in a very critical condition, and emergency health services 
were provided to the migrants and personal hygiene materials were provided to them in immigration shelters in the 
city of Kufra .
Third Event:  The second week, approximately 1,100 irregular migrants of African nationalities gathered in the Al-Assa 
area on the Libyan-Tunisian border, who had fled from Tunisian territory towards Libyan territory, where they 
gathered in positions asking for urgent humanitarian assistance in a difficult humanitarian situation and a severe 
lack of humanitarian services, the response was made by the Libyan Red Crescent Society on July 11, providing 
emergency health services, psychosocial support activities, and providing personal hygiene packages and drinking  
 wate",Libyan Red Crescent
OT-2020-000150-LBY,2020-000150,22008,OT,other,LBY,Libya,32.1011897323211,20.18798828125,0.0,0.0,0,2020,6,17,A,0,0,25000,0,,0,"Following an intensification of conflict in southern Tripoli, Tarhuna and Sirt, since the 7th of June 2020, nearly 25,000 people have been forced to flee their homes, according to the Libyan Red Crescent Society updates and IOM’s Displacement Tracking Update.  

The majority of those displaced are in the east of the country, particularly Ejdabia (6,050 people), Benghazi (5,250 people), Al Bayda (1643 people) and Tocra (402 people), although other people have fled to the west, particularly Bani Waleed (4,750 people). Some of those recently arrived IDPs in the East had previously been staying in Sirt and Ashshwayrif, before moving further east. ",IFRC
EP-2020-000012-LBY,2020-000012,21878,EP,epidemic,LBY,,26.3351,17.228331,0.0,0.0,0,2020,3,1,A,5722,389650,0,39,,120,"Coronavirus disease (COVID-19) is an infectious disease caused by the SARS-CoV-2 virus. It originated in Wuhan, China, at the end of 2019, and spread rapidly over the world.  Coronaviruses are a large family of viruses with some causing less-severe disease, such as the common cold, and others more severe like COVID-19. Coronavirus has impacted also Libya, where authorities have reported as of December 31, 2021 more than 389650 total cases, with over 5722 deaths. ","WHO, Woldometers, MoHealth"
FL-2019-000051-LBY,2019-000051,21526,FL,flood,LBY,South-west Libya,0.0,0.0,0.0,0.0,0,2019,5,28,A,0,0,0,0,,0,"Heavy rains caused flooding and damage in several locations in Ghat municipality from 28 May to 5 June. Over 20,000 persons have been affected and about 2,500 are currently displaced to nearby areas. Four people died, including three children, and about 30 suffered minor injuries.",OCHA Flash Update of 5 June
CE-2014-000108-LBY,2014-000108,20255,CE,complex emergency,LBY,Benghazi and Tripoli,32.8242111016134,13.11767578125,0.0,0.0,0,2014,5,16,A,600,0,50,2,,0,"The security situation in Libya that started to deteriorate in May, continues to be highly volatile combined with the political instability related to the transition in the country. The increase of the security incidents associated hundreds of killed and wounded people in the local communities across the country. Libyan Ministry of Health (MOH) has announced 214 killed and more than 900 wounded, due to the recent weeks of clashes in July and August. However, sources including LRCS estimate that more than 600 people were killed. People living in the areas directly affected by the fighting in Benghazi, and then Tripoli are trying to move to safer areas, while others are trapped. Libyan Red Crescent Society (LRCS) risking their lives helped evacuate those trapped as some were locked until the fighting calmed down. MOH warned of a possible collapse of the health system, should the situation continue. This came after the announcement of the evacuation of thousands of Philippine workers in Libya as 3,000 among them work in the health system.","IFRC, Libyan Red Crescent, Tunisian Red Crescent, ICRC"
OT-2011-000025-LBY,2011-000025,19434,OT,other,LBY,,26.3351,17.228331,0.0,0.0,0,2011,3,1,A,0,0,0,100000,,0,"The public demonstrations and unrest across parts of the Middle East and North Africa region have prompted significant internal insecurity, displacement and cross border population movement. Recent reports indicate that over the past week a total of some 100,000 people have fled the strife in Libya to Egypt and Tunisia. ",IFRC
