glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
FL-2024-000120-NER,2024-000120,23271,FL,flood,NER,,17.607789,8.081666,0.0,0.0,0,2024,6,11,A,0,0,0,0,,0,"As of 11 June, 26 communes across Niger have been affected by heavy rainfall and floods. The worst affected communes include 15 in Maradi in the south-central part of the country, five in Tahoua in the west, three in Tillab&eacute;ri in the southwestern, two in Zinder in the south-centre, and one in Agadez in the north. According to UN OCHA, 18 people died, almost 4,000 people were affected, 329 houses were damaged and eight schools were destroyed.",ECHO
EP-2023-000223-NER,2023-000223,23084,EP,epidemic,NER,,17.607789,8.081666,0.0,0.0,0,2023,10,20,A,0,0,0,0,,0,"On 20 October 2023, the Government of Niger, through the Ministry of Public Health, Population and Social Affairs, declared a diphtheria outbreak. The first case was registered on 17 July 2023. As of 02 November, all eight regions of the country have notified at least 1 case of diphtheria. A total of 1,838 suspected cases of diphtheria, including 91 deaths (lethality: 5%), have been reported. ",UNICEF
FL-2023-000160-NER,2023-000160,22959,FL,flood,NER,,17.607789,8.081666,0.0,0.0,0,2023,7,10,A,0,0,0,0,,0,"Since the beginning of the 2023 rainy season in Niger in June, heavy rains and floods have been recorded across the country, with above-average rainfall recorded since May. As at 25 August, the floods had caused 32 fatalities (9 from the collapse of their houses and 23 from drowning) and over 30 injuries. By 21 August, the General Directorate of Civil Protection had registered approximately 88,000 affected people across over 10,000 households.",ACAPS
FL-2022-000316-NER,2022-000316,22681,FL,flood,NER,,17.607789,8.081666,0.0,0.0,0,2022,8,31,A,0,0,0,0,,0,"Since June, heavy rainfall the rainfall season has been affecting parts of Niger, causing floods and resulting in casualties. According to media reports, 168 fatalities have been recorded, 185 people sustained injuries and about 226,717 individuals have been affected. The most impacted areas include the Maradi region (72 fatalities) and the Zinder Region (49 fatalities). Heavy rainfall caused the destruction or damage of more than 25,000 dwellings (houses, huts, and shelters), 71 classrooms, 6 medical care centres, and 217 cereal granaries. Nearly 700 cattles were also decimated. On 22-24 September, moderate to locally heavy rainfall is forecast over south-western Niger.",
OT-2022-000263-NER,2022-000263,22626,OT,other,NER,,17.607789,8.081666,0.0,0.0,0,2022,7,14,A,0,0,0,0,,0,"In Niger, over four million households are facing the devastating effects of food insecurity caused by consecutive failed rainy seasons and decades of increasing desertification of the Sahel. Men, women and children have no adequate access to food, and are exposed to several threats harming their well-being. These threats are natural hazards (climate, droughts, wildfires), epidemics (measles, malaria, meningitis and cholera) and insecurity, leading to population movements and competition over resources.
The severe food insecurity situation is confirmed by the Cadre Harmonis&eacute;1 findings, which reported that between 2.5 and 3.3 million people are currently food insecure countrywide (Phase 3 to 5 as per the Integrated Food Security Phase Classification - IPC), and that between 3.6 and 4.4 million people will be food insecure in June - August 2022 period due to a delayed 2022 rainy season and irregular distribution of rainfall, long dry spells, and high risks of flooding that can lead to losses in crops, material goods, and animal and human lives in exposed localities.",
DR-2022-000210-NER,2022-000210,22572,DR,drought,NER,,17.607789,8.081666,0.0,0.0,0,2022,5,10,A,0,0,0,0,,0,"According to the National Food Crisis Prevention and Management Mechanism, the 2021 agricultural season was marked by pests in crops, delays in planning and above average rainfall in the end of August and September. As a result, the food production was below average bringing the Niger population and risk of food insecurity. Following the results of the harmonised framework of March 2022, more than 3 million people are already facing food insecurity (fase 3). The projections predict a total of 4,402,406 persons to be directly affected.",
EP-2021-000130-NER,2021-000130,22254,EP,epidemic,NER,"Maradi, Zinder, Tahoua, Dosso, Niamey and Tillabery",0.0,0.0,0.0,0.0,0,2021,8,9,A,70,0,0,1904,,0,"As of 24 August 2021, at least 1,904 confirmed cases have been reported, including four (70) deaths for a lethality rate of 4%. The epidemic has spread to 6 regions of the country including Maradi, Zinder, Tahoua, Dosso, Niamey and Tillabery. ",Niger Red Cross Society
FL-2021-000127-NER,2021-000127,22251,FL,flood,NER,,15.6230368315283,11.640625,0.0,0.0,0,2021,6,15,A,0,0,0,0,,0,"Since mid-June, the rainy season has been affecting parts of Niger, resulting in casualties and damage. According to media, up to 64 people have died and 69,515 individuals have been affected. Heavy rainfall caused floods and landslides, destroying or damaging more than 5,100 houses. In Niamey, 6 people died on 10-11 August, after heavy rainfall-related incidents.",
FL-2020-000190-NER,2020-000190,22049,FL,flood,NER,Maradi Tahoua and Dosso,13.5009779,7.1036396,0.0,0.0,0,2020,8,12,A,0,0,0,11955,,0,"According to the Niger Red Cross regional committees of Zinder, Dosso, Tahoua and Maradi, heavy rainfall was recorded from 12 to 13 August 2020 in these regions causing flooding in several localities. The current rainy season, which started in June, is expected to continue until the end of September 2020. The drastic weather change has resulted in torrential rains that have already affected the regions causing displacement, damage to property and a risk of an outbreak of water borne and vector related disease. According to the Department of Meteorology Services, in Niamey, the Niger River marks the record height ever measured of 640 CM. The red alert level set at 620 CM for the flow of 2,512 m3/s has been reached and exceeded since 12 August 2020. On 18 August 2020, the river marked the height of 640 CM at 10 AM, corresponding to a flow of 2,716 m3/s. This is the record never recorded at the Niamey station since its installation. The forecast of the trends for the next 2 days indicates that the rise in water level will continue and the alert would remain Red",Niger Red Cross
EP-2020-000012-NER,2020-000012,21812,EP,epidemic,NER,,17.607789,8.081666,0.0,0.0,0,2020,3,1,A,276,7438,0,511,,120,"Coronavirus disease (COVID-19) is an infectious disease caused by the SARS-CoV-2 virus. It originated in Wuhan, China, at the end of 2019, and spread rapidly over the world.  Coronaviruses are a large family of viruses with some causing less-severe disease, such as the common cold, and others more severe like COVID-19. Coronavirus has impacted also Niger, where authorities have reported as of December 31, 2021 more than 7438 total cases, with over 276 deaths. ","WHO, Woldometers, MoHealth"
